cont_rank,city,country,iso3,continent,avg_2019,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,avg_2018,avg_2017,city_alt,lat,lon,pop_2020
2,Bloemfontein,South Africa,ZAF,Africa,42.3,12.6,11.2,,42.8,62.0,102.1,72.8,49.7,33.8,28.9,20.1,16.4,,,,-29.1211,26.214,567030
6,Kinshasa,Democratic Republic of the Congo,COD,Africa,32.1,,29.9,28.9,27.7,32.0,61.1,51.2,41.4,26.8,18.7,17.5,19.8,,,,-4.3276,15.3136,14342440
9,Accra,Ghana,GHA,Africa,30.3,,,,,,36.2,38.5,31.1,22.1,20.6,30.9,38.3,,,,5.556,-0.1969,2514010
10,Vereeniging,South Africa,ZAF,Africa,30.0,14.0,19.7,29.0,21.6,39.4,51.1,49.7,31.5,29.2,27.1,19.9,23.5,,,,-26.6731,27.9262,774030
12,Kampala,Uganda,UGA,Africa,29.1,35.2,36.9,30.5,17.5,12.7,34.3,39.9,37.4,32.8,18.1,24.1,30.8,40.8,54.3,,0.3163,32.5822,3298360
21,Pretoria,South Africa,ZAF,Africa,25.5,13.5,18.2,18.3,19.3,34.6,45.1,41.5,32.5,25.1,20.6,12.7,14.3,,,,-25.7449,28.1878,2565660
22,Johannesburg,South Africa,ZAF,Africa,25.3,17.8,22.1,19.0,17.3,34.3,37.8,34.2,30.1,25.0,22.1,13.6,29.2,,,,-26.2023,28.0436,5782750
23,Kano,Nigeria,NGA,Africa,21.4,45.9,59.8,21.4,10.9,23.0,14.0,10.5,7.2,13.0,7.5,41.2,,53.4,,,12.0001,8.5167,3999050
24,Algiers,Algeria,DZA,Africa,21.2,,,,18.5,19.0,23.3,23.8,22.1,23.0,20.8,16.2,22.4,,,Algiers,36.7525,3.042,2767660
27,Addis Ababa,Ethiopia,ETH,Africa,20.1,19.3,15.2,17.8,19.9,18.2,33.5,,27.2,28.0,14.1,15.9,17.9,27.1,26.9,,9.025,38.7469,4793700
31,New Cairo,Egypt,EGY,Africa,18.0,12.1,13.2,12.2,23.5,7.4,4.8,,17.5,36.9,34.6,46.4,,,,Cairo,30.0392,31.2394,20900600
32,Witbank,South Africa,ZAF,Africa,17.2,1.5,6.0,11.8,11.2,19.8,27.2,23.9,21.6,17.1,22.4,13.8,15.4,,,,-25.8713,29.2332,454300
34,Luanda,Angola,AGO,Africa,15.9,10.5,8.9,9.1,10.3,16.2,26.1,37.5,29.5,13.4,9.3,8.9,7.2,,,,-8.8368,13.2343,8329799
43,Cape Town,South Africa,ZAF,Africa,11.2,14.6,4.1,3.6,8.5,12.8,17.0,10.9,8.8,9.9,7.0,12.3,21.1,,,,-33.9258,18.4232,4617560
44,Port Elizabeth,South Africa,ZAF,Africa,10.6,9.8,6.9,7.7,11.5,13.4,14.9,11.3,10.5,11.5,8.9,9.4,9.8,,,Nelson Mandela Bay,-33.918,25.5701,1253740
45,East London,South Africa,ZAF,Africa,8.8,9.6,9.1,8.8,6.7,10.0,14.0,14.1,1.1,1.2,9.8,1.0,7.4,,,Buffalo City,-33.0153,27.9116,708560
3,Gujranwala,Pakistan,PAK,Asia,105.3,220.4,127.4,86.4,70.9,65.8,53.3,59.2,48.8,67.4,107.6,144.9,217.3,,,,32.15,74.1833,2229220
4,Faisalabad,Pakistan,PAK,Asia,104.6,223.0,128.3,82.0,59.1,56.5,46.3,54.2,58.4,66.5,92.0,148.5,226.2,130.4,,,31.4167,73.0833,3462300
5,Delhi,India,IND,Asia,98.6,191.7,84.8,75.3,71.4,76.6,56.7,43.2,31.9,37.2,116.7,200.7,194.8,113.5,108.2,,28.6667,77.2167,30290940
11,Lucknow,India,IND,Asia,90.3,156.1,38.9,95.7,97.2,78.2,69.8,35.7,30.4,28.8,108.7,199.6,142.0,115.7,119.2,,26.85,80.9167,3676520
12,Lahore,Pakistan,PAK,Asia,89.5,199.1,110.3,73.6,62.5,53.7,44.5,39.9,40.9,54.7,104.6,134.9,182.7,114.9,133.2,,31.5497,74.3436,12642420
14,Muzaffarnagar,India,IND,Asia,89.1,170.3,105.2,81.8,99.6,85.9,64.0,34.4,34.6,34.2,118.7,,,,,,29.4667,77.6833,716750
18,Faridabad,India,IND,Asia,85.0,203.2,47.0,67.6,86.3,94.7,80.3,49.7,25.1,28.6,96.8,142.5,174.4,129.1,123.0,,27.3905,79.5801,344410
21,Dhaka,Bangladesh,BGD,Asia,83.3,181.8,145.7,107.4,70.2,52.2,35.9,36.2,31.3,37.7,64.6,94.2,146.3,97.1,79.7,,23.7104,90.4074,21005860
22,Patna,India,IND,Asia,82.1,226.1,62.7,90.6,54.2,56.7,45.5,32.5,35.2,39.4,93.3,204.1,204.7,119.7,118.5,,25.6,85.1167,2436450
24,South Tangerang,Indonesia,IDN,Asia,81.3,44.1,61.4,48.9,60.9,87.2,107.6,102.9,90.5,100.7,104.4,88.6,76.1,,,,-6.2024,106.6527,2338550
25,Muzaffarpur,India,IND,Asia,81.2,198.5,80.5,99.1,55.3,60.0,33.9,,34.3,24.6,60.7,,192.5,110.3,107.4,,26.1167,85.4,504160
26,Hisar,India,IND,Asia,81.0,,,,103.4,99.4,75.8,65.5,35.1,51.1,109.2,134.9,104.4,,,,29.1667,75.7167,353860
29,Jodhpur,India,IND,Asia,77.2,128.1,52.1,66.6,103.4,111.6,87.3,90.9,45.4,46.2,69.6,68.3,74.5,113.4,81.9,,26.2392,73.0158,1471900
30,Moradabad,India,IND,Asia,76.5,189.0,40.8,81.4,84.4,87.7,59.8,38.4,34.8,32.8,91.7,77.9,116.4,104.9,,,28.8333,78.7833,1197000
32,Shangqiu,China,CHN,Asia,72.6,106.9,157.2,193.6,57.5,40.6,29.3,24.3,22.3,32.9,48.0,72.8,88.1,61.9,61.8,,34.4244,115.6514,826600
32,Shangqiu,China,CHN,Asia,72.6,106.9,157.2,193.6,57.5,40.6,29.3,24.3,22.3,32.9,48.0,72.8,88.1,61.9,61.8,,30.0311,120.8722,510810
33,Anyang,China,CHN,Asia,70.3,137.8,158.4,60.4,64.8,38.1,34.1,32.8,30.4,39.5,47.4,84.5,118.4,72.9,81.1,,36.0944,114.3503,1460110
34,Yamuna Nagar,India,IND,Asia,69.5,112.3,42.3,58.4,79.5,86.0,79.5,61.6,43.5,48.2,95.0,70.9,103.0,,,,22.4667,70.0667,644740
34,Yamuna Nagar,India,IND,Asia,69.5,112.3,42.3,58.4,79.5,86.0,79.5,61.6,43.5,48.2,95.0,70.9,103.0,,,,30.1,77.2833,450560
35,Handan,China,CHN,Asia,64.3,128.4,131.9,50.6,56.1,35.6,39.9,40.1,34.4,43.9,49.1,70.3,96.6,74.0,96.7,,36.6006,114.4678,2726840
36,Shijiazhuang,China,CHN,Asia,64.0,146.7,127.6,60.4,53.0,35.0,39.3,39.1,27.6,38.6,51.0,71.2,83.6,76.7,98.8,,38.0418,114.5108,4114390
37,Peshawar,Pakistan,PAK,Asia,63.9,81.2,44.3,28.6,53.7,44.4,56.4,52.8,41.4,60.9,75.2,77.9,113.5,,,,34.001999999999995,71.5594,2202950
38,Xianyang,China,CHN,Asia,63.7,157.0,141.2,56.4,56.6,44.2,27.4,23.5,25.9,28.8,38.1,71.1,102.7,67.8,77.8,,30.3921,104.5448,487130
39,Xingtai,China,CHN,Asia,63.5,129.3,130.2,52.7,52.6,36.3,45.9,38.4,29.9,41.1,49.2,69.5,91.7,76.7,103.7,,32.8523,120.3095,677000
39,Xingtai,China,CHN,Asia,63.5,129.3,130.2,52.7,52.6,36.3,45.9,38.4,29.9,41.1,49.2,69.5,91.7,76.7,103.7,,37.0631,114.4942,831180
39,Xingtai,China,CHN,Asia,63.5,129.3,130.2,52.7,52.6,36.3,45.9,38.4,29.9,41.1,49.2,69.5,91.7,76.7,103.7,,35.9006,117.7519,936380
40,Puyang,China,CHN,Asia,63.4,133.1,144.8,55.4,49.3,33.2,31.2,28.4,22.7,34.4,43.8,74.6,112.2,63.5,68.8,,35.7705,115.0438,632350
41,Shihezi,China,CHN,Asia,63.3,186.3,135.1,95.1,21.6,21.0,14.5,20.5,18.1,21.2,30.5,56.8,135.1,61.3,60.6,,44.3075,86.03200000000002,329750
42,Laiwu,China,CHN,Asia,63.1,113.6,101.3,100.5,,,35.1,34.7,24.6,40.8,53.2,64.0,85.2,60.6,63.3,,36.2074,117.672,907840
45,Bekasi,Indonesia,IDN,Asia,62.6,52.1,65.7,56.4,66.1,74.6,81.2,,63.3,62.9,65.2,60.9,55.9,,,,-6.2383,106.9756,3394270
46,Luoyang,China,CHN,Asia,62.4,131.4,130.8,55.4,54.2,32.4,28.0,26.6,31.1,36.4,57.6,84.4,83.5,59.9,72.5,,22.7708,111.566,364910
46,Luoyang,China,CHN,Asia,62.4,131.4,130.8,55.4,54.2,32.4,28.0,26.6,31.1,36.4,57.6,84.4,83.5,59.9,72.5,,34.6186,112.4562,2387090
47,Hebi,China,CHN,Asia,62.1,101.7,131.0,52.1,59.3,30.3,32.5,35.4,30.5,35.9,48.3,83.1,107.5,55.8,64.4,,35.747,114.2956,565990
48,Ulaanbaatar,Mongolia,MNG,Asia,62.0,194.6,139.1,75.7,33.7,19.4,9.7,15.3,19.1,18.0,38.6,62.7,122.4,58.5,66.5,,47.9077,106.8832,1584360
49,Linfen,China,CHN,Asia,61.7,171.7,112.3,42.2,53.2,33.5,33.6,29.4,31.7,34.5,44.6,61.7,91.3,68.2,80.6,,36.0889,111.5189,858100
